index,mese,giorno,ora,rain,temp,radiaz
153,1,7,9.00,0.0,-1.7,323
154,1,7,10.00,0.0,-2.2,205
155,1,7,11.00,0.0,-1.7,190
156,1,7,12.00,0.0,-1.6,245
157,1,7,13.00,0.0,-1.8,235
158,1,7,14.00,0.0,-1.8,134
159,1,7,15.00,0.0,-2.7,52
160,1,7,16.00,0.0,-3.4,4
161,1,7,17.00,0.0,-3.2,0
162,1,7,18.00,0.0,-3.3,0
163,1,7,19.00,0.0,-3.7,0
164,1,7,20.00,0.0,-3.6,0
165,1,7,21.00,0.0,-3.5,0
166,1,7,22.00,0.0,-3.6,0
167,1,7,23.00,0.0,-3.6,0
168,1,7,24.00,0.0,-3.8,0
169,1,8,1.00,0.0,-3.8,0
170,1,8,2.00,0.0,-4.1,0
171,1,8,3.00,0.0,-4.6,0
172,1,8,4.00,0.0,-5.0,0
173,1,8,5.00,0.0,-5.2,0
174,1,8,6.00,0.0,-5.3,0
175,1,8,7.00,0.0,-5.9,0
176,1,8,8.00,0.0,-5.6,37
177,1,8,9.00,0.0,-4.3,345
178,1,8,10.00,0.0,-3.2,524
179,1,8,11.00,0.0,-3.8,601
180,1,8,12.00,0.0,-3.3,302
181,1,8,13.00,0.0,-3.3,499
182,1,8,14.00,0.0,-4.2,372
183,1,8,15.00,0.0,-5.2,65
184,1,8,16.00,0.0,-6.6,13
185,1,8,17.00,0.0,-7.5,0
186,1,8,18.00,0.0,-9.1,0
187,1,8,19.00,0.0,-10.2,0
188,1,8,20.00,0.0,-10.7,0
189,1,8,21.00,0.0,-11.9,0
190,1,8,22.00,0.0,-11.9,0
191,1,8,23.00,0.0,-12.3,0
192,1,8,24.00,0.0,-12.6,0
193,1,9,1.00,0.0,-13.9,0
194,1,9,2.00,0.0,-13.8,0
195,1,9,3.00,0.0,-14.0,0
196,1,9,4.00,0.0,-14.2,0
197,1,9,5.00,0.0,-14.6,0
198,1,9,6.00,0.0,-14.6,0
199,1,9,7.00,0.0,-15.3,0
200,1,9,8.00,0.0,-15.2,28
201,1,9,9.00,0.0,-11.5,308
202,1,9,10.00,0.0,-8.9,534
203,1,9,11.00,0.0,-7.5,637
204,1,9,12.00,0.0,-6.9,585
205,1,9,13.00,0.0,-6.6,333
206,1,9,14.00,0.0,-6.9,201
207,1,9,15.00,0.0,-7.6,85
208,1,9,16.00,0.0,-9.2,8
209,1,9,17.00,0.0,-9.9,0
210,1,9,18.00,0.0,-11.3,0
211,1,9,19.00,0.0,-12.1,0
212,1,9,20.00,0.0,-12.6,0
213,1,9,21.00,0.0,-12.3,0
214,1,9,22.00,0.0,-12.3,0
215,1,9,23.00,0.0,-12.8,0
